Reading,Word,Category,Comment
あくしゅのほだい,握手の補題,名詞,
あくしゅほだい,握手補題,名詞,
いすう,位数,名詞,
いりじすう,入次数,名詞,
おいらー,オイラー,名詞,
おいらーかいろ,オイラー回路,名詞,
おいらーぐらふ,オイラーグラフ,名詞,
おいらーこみち,オイラー小道,名詞,
おいらーのこうしき,オイラーの公式,名詞,
おいらーゆうこうかいろ,オイラー有向回路,名詞,
おいらーゆうこうぐらふ,オイラー有向グラフ,名詞,
おもみ,重み,名詞,
おもみつきぐらふ,重み付きグラフ,名詞,
おや,親,名詞,
おーれ,オーレ,名詞,
おーれのていり,オーレの定理,名詞,
かいろ,回路,名詞,
かっと,カット,名詞,
かんぜんぐらふ,完全グラフ,名詞,
かんぜんせいそくｍぶんき,完全正則m分木,名詞,
かんぜんまっちんぐ,完全マッチング,名詞,
かんぜん２ぶぐらふ,完全2部グラフ,名詞,
かんぜんｎぶぐらふ,完全n部グラフ,名詞,
がいりょういき,外領域,名詞,
き,木,名詞,
きてん,奇点,名詞,
きへいろ,奇閉路,名詞,
きょうかい,境界,名詞,
きょうだい,兄弟,名詞,
きょうれんけつ,強連結,名詞,
きょうれんけつなむきづけ,強連結な向き付け,名詞,
きょくだいへいめんぐらふ,極大平面グラフ,名詞,
きょくだいへいめんてきぐらふ,極大平面的グラフ,名詞,
きょり,距離,名詞,
きんぼう,近傍,名詞,
くうしゅうごう,空集合,名詞,
くらすかるほう,クルスカル法,名詞,
くらとふすきー,クラトフスキ―,名詞,
くらとふすきーのていり,クラトフスキ―の定理,名詞,
くりーく,クリーク,名詞,
くるすかる,クルスカル,名詞,
くるすかるのあるごりずむ,クルスカルのアルゴリズム,名詞,
ぐうてん,遇点,名詞,
ぐうへいろ,遇閉路,名詞,
ぐらふ,グラフ,名詞,
ぐらふりろん,グラフ理論,名詞,
げん,元,名詞,
こ,弧,名詞,
こ,子,名詞,
こうごどう,交互道,名詞,
こうごへいろ,交互閉路,名詞,
こしゅうごう,孤集合,名詞,
こみち,小道,名詞,
こりつてん,孤立点,名詞,
さいしょうかっと,最小カット,名詞,
さいしょうぜんいきぎ,最小全域木,名詞,
さいしょく,彩色,名詞,
さいず,サイズ,名詞,
さいだいふろー,最大フロー,名詞,
さいだいまっちんぐ,最大マッチング,名詞,
さいだいりゅう,最大流,名詞,
さいだいりゅうもんだい,最大流問題,名詞,
さいぶん,細分,名詞,
さんかくけいぶんかつ,三角形分割,名詞,
ざんよようりょうねっとわーく,残余容量ネットワーク,名詞,
しそん,子孫,名詞,
してん,始点,名詞,
しゅうてん,終点,名詞,
しんく,シンク,名詞,
じすう,次数,名詞,
じゅんかいせーるすまんもんだい,巡回セールスマン問題,名詞,
じゅんじょつい,順序対,名詞,
すいじゅん,水準,名詞,
せいそく,正則,名詞,
せいそくぐらふ,正則グラフ,名詞,
